filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,135,.//tei:sourceDoc//tei:surface,2
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,13,.//tei:sourceDoc//tei:add,2
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,211,.//tei:sourceDoc//tei:zone,2
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,815,.//tei:sourceDoc//tei:line,2
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,291,.//tei:sourceDoc//tei:seg,2
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,1,.//tei:abstract,2
1zzdq,Notizbuch C6,1873,1873,1873,4,.//tei:sourceDoc//tei:note[@type='editorial'],26
1zzdq,Notizbuch C6,1873,1873,1873,9,.//tei:sourceDoc//tei:note[@type='authorial'],3
1zzdq,Notizbuch C6,1873,1873,1873,135,.//tei:sourceDoc//tei:surface,3
1zzdq,Notizbuch C6,1873,1873,1873,61,.//tei:sourceDoc//tei:add,3
1zzdq,Notizbuch C6,1873,1873,1873,305,.//tei:sourceDoc//tei:zone,3
1zzdq,Notizbuch C6,1873,1873,1873,1255,.//tei:sourceDoc//tei:line,3
1zzdq,Notizbuch C6,1873,1873,1873,628,.//tei:sourceDoc//tei:seg,3
1zzdq,Notizbuch C6,1873,1873,1873,1,.//tei:abstract,2
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,171,.//tei:sourceDoc//tei:surface,2
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,90,.//tei:sourceDoc//tei:add,2
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,315,.//tei:sourceDoc//tei:zone,2
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,1523,.//tei:sourceDoc//tei:line,2
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,1169,.//tei:sourceDoc//tei:seg,2
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,1,.//tei:abstract,2
1zzdz,Notizbuch D7,1871,1871,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
1zzdz,Notizbuch D7,1871,1871,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1zzdz,Notizbuch D7,1871,1871,,152,.//tei:sourceDoc//tei:surface,2
1zzdz,Notizbuch D7,1871,1871,,132,.//tei:sourceDoc//tei:add,2
1zzdz,Notizbuch D7,1871,1871,,393,.//tei:sourceDoc//tei:zone,2
1zzdz,Notizbuch D7,1871,1871,,2525,.//tei:sourceDoc//tei:line,2
1zzdz,Notizbuch D7,1871,1871,,1529,.//tei:sourceDoc//tei:seg,2
1zzdz,Notizbuch D7,1871,1871,,1,.//tei:abstract,2
1zzf3,Notizbuch E3,,,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
